id,answer
1,The
2,While
3,rights
4,The
5,The
6,I
7,Nicholas
8,Nicholas
9,Nicholas
10,Ottomans
11,France
12,Russian
13,Omar Pasha
14,town
15,Fearing
16,Russian
17,201
18,Russians
19,Nicholas
20,Crimean Peninsula
21,late
22,1856
23,Treaty
24,30
25,equality
26,Crimean War
27,reaction
28,The
29,1821
30,Sultan Mahmud II
31,15
32,In
33,1830
34,1830
35,Muhammad Ali
36,Not sure
37,Russian
38,10 000
39,Muhammad Ali
40,The
41,north
42,Muhammad Ali
43,1840
44,Russia
45,Treaty
46,1848
47,Russia
48,Muhammad Ali
49,200
50,Wild Fields
51,200
52,conflict
53,When
54,Russians
55,Auspicious Incident
56,parades
57,1853
58,Ottomans
59,Marquis Charles de La Valette
60,Catholic
61,May
62,Napoleon III
63,Napoleon III
64,10419
65,10419
66,10419
67,In
68,Nicholas
69,Menshikov
70,1853
71,Menshikov
72,In
73,In
74,In
75,Stratford Canning
76,convinced
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,According
80,1853
81,However
82,Russia
83,Russia
84,Nicholas
85,Vienna Conference
86,Count Karl von Buol
87,5
88,Abdülmecid
89,Count Karl von Buol
90,November
91,Anglo-French
92,Ottoman
93,Sinop
94,1854
95,John Burgoyne
96,Burgoyne
97,Dardanelles
98,Burgoyne
99,Burgoyne
100,1848
101,Nicholas
102,Austria
103,On
104,Ottoman Empire
105,Nicholas
106,October
107,Danube
108,Danube
109,Calafat
110,In
111,Russians
112,14
113,14
114,French
115,Vidin
116,west
117,However
118,However
119,peaceful
120,Varna
121,1854
122,1854
123,Danube
124,Russian
125,Ottoman
126,Furious
127,action
128,December
129,Istanbul
130,Russians
131,Russians
132,siege
133,siege
134,1854
135,UK
136,George Hamilton-Gordon
137,1854
138,The
139,500
140,The
141,Katcha
142,6000
143,General
144,6000
145,24
146,resistance
147,25
148,resistance
149,Not sure
150,Raglan
151,4
152,17
153,On
154,By
155,The
156,460
157,body
158,cavalry
159,body
160,Battle
161,Soon
162,Raglan
163,Raglan
164,Raglan
165,length
166,length
167,legend
168,Alfred Lord Tennyson
169,Light Brigade
170,halt
171,HMS Prince
172,14
173,January
174,439
175,Not sure
176,Mamelon
177,Russians
178,Russian
179,time
180,June
181,Western Allied Baltic Fleet
182,460
183,461
184,French
185,Malakoff
186,On
187,Raglan
188,Meanwhile
189,Anglo-French
190,Anglo-French
191,Kerch Strait
192,May
193,Taganrog
194,HMS Jasper
195,On
196,August
197,September
198,August
199,Nicholas
200,However
201,Redut Kale
202,30000
203,13
204,Batum
205,south
206,Kars
207,On
208,time
209,In
210,Turkish
211,local
212,Muravyev
213,taking
214,Crimea
215,8000
216,8000
217,Abkhazia
218,Georgian
219,Saint Petersburg
220,Russian
221,Baltic
222,1854
223,French
224,1855
225,Åland Islands
226,Viktor Poplonsky
227,Captain
228,Russian
229,mining
230,Russian
231,Cronstadt
232,Immanuel Nobel
233,David Price
234,Russians
235,British
236,Victor Emmanuel II
237,Camillo di Cavour
238,Victor Emmanuel II
239,16
240,Piedmont-Sardinia
241,1853
242,32–40
243,Piraeus
244,1854
245,gambling
246,Trafalgar Square
247,finally
248,January
249,When
250,Foreign Secretary Lord
251,Paris
252,30
253,article
254,principalities
255,Balaklava
256,30
257,Franco-Prussian War
258,1871
259,French
260,Otto von Bismarck
261,The
262,Austro-Prussian War433
263,433
264,Crimean War
265,Continent
266,Crimean War
267,A. W
268,British
269,historians
270,Russian
271,While
272,Alexander II
273,In
274,In
275,William Howard Russell
276,provided
277,William Howard Russell
278,After
279,1854
280,opinion
281,1857
282,Light Brigade
283,Crimean War
284,William Howard Russell
285,British
286,London
287,European
288,Peloponnese
289,Greece
290,227
291,227
292,percent
293,study
294,Philip
295,BC
296,century
297,3200
298,Greece
299,Olympic Games
300,2001
301,Greece
302,Hellenic Republic
303,Ελλάδα
304,Greece
305,Latin
306,Graecia
307,southern
308,BC
309,BC
310,stages
311,Paleolithic
312,Greece
313,Persian
314,1200
315,BC
316,1814
317,Greece
318,beginning
319,776
320,Southern Italy
321,Greece
322,By
323,BC
324,Thermopylae
325,Greek
326,276
327,The
328,steep
329,intra-Greek
330,brought
331,Phillip II
332,Alexander
333,culture
334,Battle
335,2002
336,The
337,Emperor
338,Greek
339,AD
340,Aeneid
341,Greek
342,Greek
343,Greek
344,393
345,AD
346,Aromanians
347,492
348,Empire
349,Slavic
350,Byzantine
351,Byzantine
352,Slavs
353,United Nations
354,As
355,1261
356,re-establishment
357,Constantinople
358,much
359,Greece
360,Morea
361,1571
362,With
363,Ionian Islands
364,1797
365,part
366,Ottoman
367,Ottoman
368,Islam
369,The
370,Christians
371,1571
372,1571
373,1571
374,Lepanto
375,The
376,known
377,Greek
378,Rigas Feraios
379,1798
380,1814
381,Filiki Eteria
382,Filiki Eteria
383,Though
384,late
385,1821
386,Theodoros Kolokotronis
387,Greek
388,1824
389,50
390,Ibrahim Pasha
391,Meanwhile
392,1822
393,Greece
394,Great Powers
395,Greek
396,Greek
397,1830
398,Greek
399,July
400,International Financial Control
401,elite
402,Greek
403,1877
404,25
405,1881
406,World War I
407,parts
408,1877
409,position
410,admitted
411,World War I
412,Population
413,admitted
414,happening
415,refugees
416,term
417,even
418,catastrophic
419,events
420,Georgios Kondylis
421,admitted
422,1924
423,brought
424,culture
425,Greek
426,reprisals
427,Andreas Papandreou
428,Panhellenic Socialist Movement PASOK
429,1980
430,1999
431,2001
432,Macedonia
433,They
434,227
435,percent
436,Pindus
437,Mt
438,Kythera
439,Cycladic
440,Guinness
441,Saronic gulf
442,Saronic gulf
443,Aegean Sea
444,Saronic gulf
445,Saronic gulf
446,Γενικό Λύκειο
447,Pindus
448,Pindus
449,The
450,Peloponnese
451,parts
452,Athens
453,position
454,According
455,Illyrian
456,World Wide Fund
457,World Wide Fund
458,Γενικό Λύκειο
459,St Paul
460,state
461,Greece
462,120
463,1986
464,proximity
465,position
466,The
467,position
468,Parliament
469,Parliament
470,elections
471,Greek
472,leftist
473,May
474,New Democracy
475,Greece
476,Greece
477,Ministry for Foreign Affairs
478,lyre
479,Greek
480,Greece
481,Greece
482,Greece
483,National Guard
484,1
485,325
486,January
487,Greek
488,Mount Athos
489,Greece
490,comprises
491,comprises
492,2009
493,United Nations World Tourism Organization
494,Greece
495,Greece
496,Greece
497,Greece
498,Greek
499,Greek
500,Organisation for Economic Co-operation
501,19
502,2001
503,Economic and Monetary Union
504,In
505,European
506,According
507,The Maastricht
508,Greece
509,741
510,categories
511,Greece
512,2007
513,European
514,AD
515,2007
516,Greeks
517,A
518,European
519,340
520,340
521,Greece
522,European Space Agency
523,1994
524,2003
525,European Space Agency
526,2003
527,Greek
528,Manolis Andronikos
529,Dirac Prize
530,Dirac Prize
531,Dirac Prize
532,Greek
533,Thrace
534,Greece
535,former
536,citizens
537,citizens
538,120
539,120
540,The
541,admitted
542,known
543,Greek
544,Greek
545,Greece
546,Greek
547,Greece
548,Cappadocian
549,The
550,former
551,languages
552,spoken
553,Albanian-speaking
554,amount
555,1923
556,Jewish
557,Greco-Turkic
558,7
559,7
560,residents
561,addition
562,EU
563,Greece
564,Syrian
565,2015
566,GDP
567,League
568,values
569,broke
570,Greece
571,Γενικό Λύκειο
572,Ινστιτούτα Επαγγελματικής Κατάρτισης
573,Ινστιτούτα Επαγγελματικής Κατάρτισης
574,Framework Law
575,2
576,Institutes
577,Hellenic Open University
578,Capodistrian University of Athens
579,Greece
580,In
581,Children
582,138
583,1
584,Greece
585,Greek
586,The
587,ancient
588,Olympic Games
589,Western
590,so-called
591,British Empire
592,Greek
593,Greek
594,Spyridon Xyndas
595,Aristotle
596,But
597,But
598,Greek
599,Homer
600,The
601,Sappho
602,Greece
603,1896
604,1896
605,Asty Films Company
606,Greek
607,Chloe
608,many
609,considered
610,Grigoris Grigoriou
611,Giorgos Tzavellas
612,Grigoris Grigoriou
613,Πικρό Ψωμί
614,Zorba
615,Palme
616,His
617,healthy
618,Mediterranean
619,traced
620,added
621,Sweet
622,flavorings
623,Greek
624,extends
625,Not sure
626,taught
627,Eastern Orthodox Church
628,Byzantine
629,Hellenic Republic
630,Greek
631,Greek
632,Greeks
633,Greek
634,1870–1930
